iter	RMSE
0	21728.97224
1	20591.93629
2	19703.59124
3	18912.83257
4	18232.03368
5	17638.9081
6	17055.5341
7	16645.11415
8	16241.18283
9	15863.49688
10	15560.22481
11	15250.82673
12	14989.44439
13	14746.27683
14	14487.29145
15	14271.34903
16	14084.71979
17	13876.45727
18	13720.6008
19	13567.04673
20	13400.19576
21	13240.89193
22	13112.49149
23	13000.71334
24	12903.10707
25	12773.86836
26	12645.48198
27	12563.54437
28	12468.93183
29	12348.44218
30	12238.11756
31	12169.12313
32	12104.13411
33	12025.18201
34	11959.40099
35	11893.56819
36	11802.16228
37	11722.22078
38	11659.90376
39	11617.72106
40	11532.82568
41	11488.74839
42	11434.78644
43	11396.55815
44	11339.35774
45	11297.90271
46	11245.19625
47	11197.66188
48	11160.0493
49	11106.8547
50	11063.60461
51	11032.13766
52	10980.82903
53	10941.33844
54	10909.15162
55	10876.46649
56	10822.6505
57	10780.74886
58	10748.5341
59	10704.94834
60	10671.35983
61	10632.96044
62	10605.79536
63	10565.9933
64	10536.21141
65	10505.46302
66	10462.40312
67	10435.96453
68	10410.00529
69	10374.29626
70	10341.47143
71	10322.39488
72	10298.44114
73	10279.17831
74	10258.02679
75	10232.0845
76	10213.79207
77	10186.8424
78	10168.76967
79	10138.24165
80	10114.67105
81	10091.24221
82	10077.01836
83	10063.7483
84	10037.84804
85	10019.88217
86	9991.696491
87	9967.557545
88	9947.553538
89	9931.432841
90	9914.68629
91	9903.14075
92	9889.107421
93	9876.743363
94	9862.135251
95	9843.526248
96	9827.674575
97	9804.854595
98	9790.847251
99	9767.316452
100	9754.585142
101	9740.163832
102	9721.142893
103	9708.343204
104	9693.603571
105	9677.953332
106	9663.262935
107	9653.23351
108	9639.102388
109	9622.833893
110	9611.462424
111	9603.774528
112	9593.313073
113	9577.025235
114	9561.834536
115	9543.010584
116	9533.029007
117	9524.160661
118	9507.415876
119	9492.822691
120	9480.620569
121	9469.556303
122	9459.833165
123	9450.709036
124	9435.676191
125	9424.953496
126	9410.265326
127	9403.341057
128	9390.418507
129	9379.314654
130	9369.327168
131	9358.877972
132	9346.135861
133	9339.468598
134	9329.571411
135	9316.12783
136	9308.621487
137	9299.871746
138	9289.987074
139	9277.388943
140	9265.553386
141	9255.480094
142	9244.07905
143	9236.369387
144	9223.301816
145	9214.583415
146	9206.034197
147	9200.835615
148	9192.240994
149	9182.38482
150	9171.138619
151	9161.608005
152	9156.780347
153	9146.52093
154	9137.02825
155	9125.85405
156	9116.063714
157	9108.219961
158	9100.646748
159	9092.215938
160	9084.844003
161	9076.059813
162	9067.440232
163	9060.506505
164	9053.801107
165	9047.101653
166	9038.979756
167	9025.8533
168	9017.129024
169	9011.110393
170	9002.002241
171	8996.709154
172	8983.067925
173	8977.4095
174	8970.325665
175	8963.173685
176	8956.092289
177	8946.949135
178	8940.723977
179	8936.286629
180	8928.686452
181	8920.833203
182	8913.475269
183	8906.822542
184	8900.486393
185	8896.517355
186	8889.342721
187	8883.088313
188	8873.27429
189	8866.754196
190	8862.402437
191	8856.758994
192	8850.351923
193	8842.087249
194	8833.764289
195	8826.086886
196	8819.200142
197	8810.415057
198	8800.861719
199	8794.713562
200	8789.083986
201	8783.359074
202	8775.384617
203	8772.039587
204	8765.107374
205	8759.844873
206	8752.157202
207	8743.88223
208	8738.973094
209	8735.460301
210	8727.737723
211	8722.383503
212	8718.566368
213	8712.500506
214	8706.638542
215	8701.55188
216	8694.242842
217	8685.360818
218	8680.2073
219	8674.077538
220	8669.621725
221	8664.789454
222	8660.338888
223	8653.750821
224	8647.922574
225	8637.924507
226	8632.110921
227	8627.038325
228	8623.698558
229	8618.993651
230	8610.929479
231	8605.429132
232	8599.339341
233	8595.827345
234	8590.921283
235	8586.355072
236	8579.920867
237	8575.359928
238	8571.733665
239	8566.222466
240	8561.804377
241	8556.753843
242	8552.398057
243	8548.943805
244	8544.587243
245	8541.148527
246	8535.867355
247	8529.079661
248	8524.78099
249	8517.990582
250	8512.311293
251	8505.703045
252	8499.63103
253	8492.753073
254	8486.470622
255	8483.942279
256	8480.564202
257	8473.70836
258	8470.079372
259	8461.639149
260	8457.96238
261	8456.342788
262	8453.504203
263	8447.293625
264	8443.577968
265	8439.624692
266	8436.688765
267	8432.524321
268	8428.701198
269	8424.044523
270	8419.883035
271	8416.493369
272	8412.569711
273	8406.615531
274	8403.707698
275	8398.959792
276	8394.25559
277	8389.206617
278	8384.38689
279	8380.312807
280	8376.249671
281	8372.750167
282	8365.627167
283	8361.684298
