iter	Passed	Remaining
0	405	405452
1	545	272423
2	704	234282
3	837	208617
4	985	196072
5	1093	181235
6	1236	175399
7	1341	166389
8	1486	163695
9	1618	160197
10	1756	157890
11	1868	153859
12	1995	151500
13	2129	149997
14	2267	148919
15	2372	145896
16	2492	144129
17	2615	142690
18	2762	142624
19	2861	140209
20	2977	138809
21	3121	138760
22	3264	138674
23	3379	137446
24	3489	136088
25	3633	136098
26	3767	135785
27	3889	135007
28	4054	135757
29	4236	136995
30	4433	138593
31	4580	138562
32	4706	137905
33	4909	139485
34	5065	139654
35	5194	139100
36	5312	138276
37	5451	138018
38	5571	137276
39	5695	136701
40	5829	136354
41	5942	135546
42	6065	134999
43	6172	134100
44	6307	133866
45	6512	135059
46	6671	135271
47	6807	135024
48	6915	134222
49	7042	133811
50	7151	133067
51	7249	132170
52	7429	132754
53	7623	133546
54	7792	133880
55	7966	134285
56	8088	133823
57	8203	133240
58	8319	132687
59	8468	132675
60	8579	132070
61	8713	131833
62	8821	131202
63	8938	130726
64	9062	130353
65	9212	130366
66	9402	130937
67	9598	131551
68	9753	131603
69	9958	132308
70	10140	132678
71	10281	132515
72	10383	131853
73	10496	131347
74	10629	131094
75	10766	130894
76	10894	130588
77	11015	130210
78	11201	130590
79	11399	131093
80	11552	131072
81	11739	131421
82	11889	131361
83	12027	131157
84	12149	130785
85	12290	130619
86	12411	130250
87	12550	130068
88	12666	129657
89	12809	129517
90	12921	129073
91	13017	128473
92	13136	128115
93	13308	128275
94	13476	128377
95	13667	128701
96	13841	128852
97	13992	128792
98	14099	128317
99	14212	127911
100	14338	127625
101	14465	127351
102	14604	127184
103	14771	127264
104	14936	127319
105	15124	127558
106	15224	127057
107	15338	126684
108	15468	126443
109	15594	126173
110	15695	125704
111	15796	125244
112	15921	124973
113	16060	124823
114	16163	124386
115	16273	124015
116	16401	123783
117	16525	123518
118	16646	123239
119	16778	123040
120	16884	122655
121	16998	122331
122	17159	122349
123	17298	122205
124	17450	122156
125	17591	122021
126	17716	121780
127	17860	121677
128	18018	121659
129	18159	121530
130	18271	121206
131	18400	120997
132	18577	121103
133	18735	121079
134	18842	120730
135	18965	120484
136	19178	120811
137	19331	120751
138	19457	120522
139	19615	120493
140	19811	120693
141	19957	120585
142	20073	120302
143	20182	119971
144	20305	119731
145	20426	119481
146	20576	119397
147	20714	119247
148	20879	119249
149	21023	119132
150	21167	119013
151	21276	118698
152	21399	118468
153	21514	118190
154	21672	118150
155	21789	117886
156	21911	117654
157	22032	117411
158	22159	117207
159	22290	117027
160	22411	116788
161	22614	116981
162	22779	116972
163	22910	116785
